UI_Group,UI_Target,Top_Predictor,Top_Predictor_Importance,Top_3_Predictors,Top_3_Importance_Values,Top_SHAP_Predictors,Top_SHAP_Values,Top_Mean_ABS_SHAP
Desktop_UI,desktop_grid_pref,Conscientiousness,0.15128932935872638,"Conscientiousness, Neuroticism, Agreeableness","0.1513, 0.1451, 0.1404","Neuroticism, Conscientiousness, primary_persona","0.0281, 0.0276, 0.0244",0.028119456782196687
Desktop_UI,desktop_info_density,Neuroticism,0.15865607313821506,"Neuroticism, Openness, primary_persona","0.1587, 0.1431, 0.1402","primary_device, Neuroticism, current_mood","0.0334, 0.0326, 0.0306",0.03341680169935241
Desktop_UI,desktop_image_text_ratio,Conscientiousness,0.14989912597338326,"Conscientiousness, Neuroticism, Agreeableness","0.1499, 0.1487, 0.1460","Conscientiousness, Neuroticism, primary_persona","0.0396, 0.0389, 0.0335",0.03963501720258204
Desktop_UI,desktop_whitespace,Neuroticism,0.15944055568800392,"Neuroticism, Openness, Agreeableness","0.1594, 0.1509, 0.1396","Conscientiousness, primary_device, Extraversion","0.0376, 0.0308, 0.0273",0.037646892937975435
Desktop_UI,desktop_navigation,Neuroticism,0.15388928871081686,"Neuroticism, Openness, Agreeableness","0.1539, 0.1477, 0.1402","current_mood, Neuroticism, primary_device","0.0358, 0.0293, 0.0250",0.03582976720680696
Desktop_UI,desktop_search_visibility,Neuroticism,0.15546173192926946,"Neuroticism, Agreeableness, Extraversion","0.1555, 0.1495, 0.1433","current_mood, Agreeableness, Conscientiousness","0.0367, 0.0297, 0.0262",0.03669277804637983
Desktop_UI,desktop_category_display,Neuroticism,0.16212658977388777,"Neuroticism, Conscientiousness, Agreeableness","0.1621, 0.1396, 0.1376","primary_persona, Openness, Conscientiousness","0.0311, 0.0309, 0.0302",0.03110389560142154
Desktop_UI,desktop_product_card,Neuroticism,0.15609663672226098,"Neuroticism, Openness, Conscientiousness","0.1561, 0.1416, 0.1347","Neuroticism, primary_persona, Agreeableness","0.0289, 0.0260, 0.0259",0.02885014099936915
Desktop_UI,desktop_price_display,Neuroticism,0.15001255943869501,"Neuroticism, primary_persona, Extraversion","0.1500, 0.1493, 0.1394","primary_persona, Neuroticism, Conscientiousness","0.0362, 0.0331, 0.0260",0.03622596838859769
Desktop_UI,desktop_filter_location,Agreeableness,0.1515395151341888,"Agreeableness, current_mood, Extraversion","0.1515, 0.1473, 0.1390","Neuroticism, primary_persona, current_mood","0.0498, 0.0293, 0.0269",0.04976062206013869
Desktop_UI,desktop_persistent_filters,Neuroticism,0.16299529449309805,"Neuroticism, current_mood, Extraversion","0.1630, 0.1601, 0.1382","Agreeableness, current_mood, Extraversion","0.0421, 0.0400, 0.0383",0.042106151452770364
Desktop_UI,desktop_quick_view,Neuroticism,0.15789085354180765,"Neuroticism, Agreeableness, Openness","0.1579, 0.1534, 0.1426","primary_persona, Extraversion, primary_device","0.0349, 0.0310, 0.0262",0.03492245695292501
Desktop_UI,desktop_review_display,Conscientiousness,0.1590698535013453,"Conscientiousness, Neuroticism, Agreeableness","0.1591, 0.1504, 0.1461","current_mood, primary_device, Extraversion","0.0360, 0.0351, 0.0340",0.03597010550148029
