UI_Group,UI_Target,Top_Predictor,Top_Predictor_Importance,Top_3_Predictors,Top_3_Importance_Values,Top_SHAP_Predictors,Top_SHAP_Values,Top_Mean_ABS_SHAP
Mobile_UI,mobile_grid_pref,Neuroticism,0.1654255045657358,"Neuroticism, Agreeableness, Conscientiousness","0.1654, 0.1411, 0.1384","current_mood, primary_persona, Extraversion","0.0334, 0.0328, 0.0316",0.033384747421648715
Mobile_UI,mobile_info_density,Neuroticism,0.175575704624629,"Neuroticism, Conscientiousness, Openness","0.1756, 0.1385, 0.1377","Agreeableness, primary_device, primary_persona","0.0389, 0.0389, 0.0291",0.03890354667296107
Mobile_UI,mobile_image_text_ratio,Neuroticism,0.16449360838430543,"Neuroticism, Conscientiousness, Openness","0.1645, 0.1597, 0.1475","Neuroticism, primary_device, Extraversion","0.0308, 0.0226, 0.0203",0.030771827634349026
Mobile_UI,mobile_whitespace,Conscientiousness,0.16342859590437572,"Conscientiousness, Neuroticism, primary_persona","0.1634, 0.1522, 0.1402","current_mood, primary_device, Conscientiousness","0.0218, 0.0197, 0.0188",0.021830067113686645
Mobile_UI,mobile_navigation,Neuroticism,0.171996073879084,"Neuroticism, Openness, Conscientiousness","0.1720, 0.1430, 0.1391","primary_device, primary_persona, current_mood","0.0315, 0.0271, 0.0252",0.03150951223570677
Mobile_UI,mobile_search_visibility,Conscientiousness,0.16513656572075178,"Conscientiousness, Neuroticism, Extraversion","0.1651, 0.1572, 0.1408","primary_persona, Conscientiousness, primary_device","0.0467, 0.0343, 0.0325",0.046715417499566356
Mobile_UI,mobile_category_display,current_mood,0.1641360042788341,"current_mood, Neuroticism, Extraversion","0.1641, 0.1463, 0.1323","Neuroticism, primary_device, primary_persona","0.0448, 0.0440, 0.0419",0.04482279937278525
Mobile_UI,mobile_product_card,Neuroticism,0.16125968530770227,"Neuroticism, Agreeableness, Conscientiousness","0.1613, 0.1402, 0.1360","Extraversion, Neuroticism, primary_persona","0.0259, 0.0205, 0.0189",0.0258639928405956
Mobile_UI,mobile_price_display,Neuroticism,0.1785808417698981,"Neuroticism, Conscientiousness, primary_persona","0.1786, 0.1490, 0.1378","Neuroticism, Openness, current_mood","0.0499, 0.0359, 0.0335",0.04985584668767024
Mobile_UI,mobile_filter_location,current_mood,0.14244097204505035,"current_mood, Openness, Conscientiousness","0.1424, 0.1419, 0.1392","Openness, primary_device, current_mood","0.0316, 0.0307, 0.0282",0.03155657743988236
Mobile_UI,mobile_quick_view,Neuroticism,0.1535727242355789,"Neuroticism, Conscientiousness, Openness","0.1536, 0.1508, 0.1474","Extraversion, Neuroticism, primary_persona","0.0414, 0.0351, 0.0316",0.04136453319739312
Mobile_UI,mobile_review_display,Neuroticism,0.16505223943047112,"Neuroticism, Extraversion, Agreeableness","0.1651, 0.1455, 0.1412","Conscientiousness, primary_persona, Neuroticism","0.0418, 0.0378, 0.0286",0.04180842022227619
Mobile_UI,mobile_sticky_header,Agreeableness,0.16085785468758623,"Agreeableness, primary_persona, Neuroticism","0.1609, 0.1463, 0.1453","primary_device, Agreeableness, Conscientiousness","0.0456, 0.0407, 0.0405",0.04557040654893607
Mobile_UI,mobile_touch_size,Neuroticism,0.17028828421837897,"Neuroticism, Openness, Agreeableness","0.1703, 0.1441, 0.1414","Neuroticism, primary_device, primary_persona","0.0379, 0.0331, 0.0251",0.037942846728966965
