UI_Group,UI_Target,Top_Predictor,Top_Predictor_Importance,Top_3_Predictors,Top_3_Importance_Values,Top_SHAP_Predictors,Top_SHAP_Values,Top_Mean_ABS_SHAP
Global_UI,font_style_pref,Neuroticism,0.15430254719629802,"Neuroticism, Openness, Extraversion","0.1543, 0.1529, 0.1404","primary_device, Neuroticism, primary_persona","0.0381, 0.0299, 0.0282",0.03809923856570584
Global_UI,font_size_pref,Neuroticism,0.15637659439257096,"Neuroticism, Agreeableness, Extraversion","0.1564, 0.1440, 0.1414","current_mood, Conscientiousness, Neuroticism","0.0276, 0.0261, 0.0249",0.027552435253338354
Global_UI,color_theme_pref,Neuroticism,0.14751521531356399,"Neuroticism, primary_persona, Conscientiousness","0.1475, 0.1452, 0.1419","Neuroticism, Openness, Extraversion","0.0301, 0.0238, 0.0220",0.030114785265523376
Global_UI,accent_color_pref,Agreeableness,0.1456517975149239,"Agreeableness, Neuroticism, current_mood","0.1457, 0.1423, 0.1419","Neuroticism, primary_persona, Agreeableness","0.0205, 0.0205, 0.0198",0.020524786934619937
Global_UI,background_pref,Neuroticism,0.16447231329585318,"Neuroticism, primary_persona, Conscientiousness","0.1645, 0.1426, 0.1349","Agreeableness, Neuroticism, Extraversion","0.0356, 0.0295, 0.0256",0.03562855577852648
Global_UI,whitespace_pref,Conscientiousness,0.15823556163420485,"Conscientiousness, Neuroticism, Openness","0.1582, 0.1499, 0.1376","current_mood, Neuroticism, Extraversion","0.0382, 0.0323, 0.0305",0.0382447927828469
Global_UI,button_style_pref,Neuroticism,0.15196604664359603,"Neuroticism, Openness, Conscientiousness","0.1520, 0.1427, 0.1397","Agreeableness, Extraversion, Neuroticism","0.0229, 0.0229, 0.0220",0.022936221007418812
Global_UI,hero_banner_size,Neuroticism,0.16535234982512878,"Neuroticism, Openness, Extraversion","0.1654, 0.1465, 0.1443","primary_device, Openness, Neuroticism","0.0344, 0.0311, 0.0282",0.03436380317597383
Global_UI,recommendation_type,Neuroticism,0.15590577783294063,"Neuroticism, Conscientiousness, primary_persona","0.1559, 0.1455, 0.1407","Neuroticism, current_mood, Agreeableness","0.0443, 0.0345, 0.0309",0.044345807235348235
Global_UI,social_proof_display,Neuroticism,0.15105851195332798,"Neuroticism, primary_persona, Conscientiousness","0.1511, 0.1466, 0.1448","Neuroticism, primary_persona, Agreeableness","0.0376, 0.0305, 0.0258",0.03758177776032348
Global_UI,urgency_pref,Neuroticism,0.1452802570235586,"Neuroticism, Openness, Extraversion","0.1453, 0.1414, 0.1364","current_mood, primary_device, Agreeableness","0.0356, 0.0340, 0.0320",0.03563454222560034
Global_UI,checkout_style,Neuroticism,0.16457007491078973,"Neuroticism, Conscientiousness, Agreeableness","0.1646, 0.1485, 0.1443","primary_persona, Extraversion, current_mood","0.0313, 0.0292, 0.0288",0.031287781358073315
