Trait,Level,Property,Internal_Property,Nudge,Direction,Provenance,Modifier_Evidence_Score,Strength,Group_N,Delta,Cramers_V,RF_Importance,Mean_SHAP
Agreeableness,High,recommendation_strength,recommendation_emphasis,1,increase,theory,0.30661,Moderate,99,,0.097985,0.122641,0.025799
Conscientiousness,High,information_density,information_density,1,increase,theory,0.319887,Moderate,68,,0.109735,0.138486,0.02673
Conscientiousness,Low,whitespace,whitespace,-1,decrease,data-driven,0.807238,Very Strong,43,-0.057,0.174924,0.163429,0.037647
Conscientiousness,Low,information_density,information_density,-1,decrease,theory,0.308637,Moderate,43,,0.109735,0.138486,0.02673
Extraversion,High,recommendation_strength,recommendation_emphasis,-1,decrease,data-driven,0.649328,Strong,33,-0.0793,0.134106,0.127419,0.018839
Extraversion,High,information_density,information_density,-1,decrease,data-driven,0.602851,Strong,33,-0.0616,0.106715,0.137781,0.023054
Extraversion,High,animation,animation_level,1,increase,theory,0.01485,Weak,33,,0.0,0.0,0.0
Extraversion,Low,recommendation_strength,recommendation_emphasis,-1,decrease,theory,0.313547,Moderate,64,,0.134106,0.127419,0.018839
Neuroticism,High,recommendation_strength,recommendation_emphasis,1,increase,data-driven,0.792847,Very Strong,48,0.0528,0.179644,0.151059,0.037582
Neuroticism,High,information_density,information_density,-1,decrease,theory,0.368946,Moderate,48,,0.122399,0.175576,0.032592
Neuroticism,High,whitespace,whitespace,1,increase,theory,0.328673,Moderate,48,,0.096046,0.159441,0.032268
Neuroticism,High,animation,animation_level,-1,decrease,theory,0.0216,Weak,48,,0.0,0.0,0.0
Neuroticism,Medium,recommendation_strength,recommendation_emphasis,-1,decrease,data-driven,0.816638,Very Strong,83,-0.0515,0.179644,0.151059,0.037582
Openness,High,visual_richness,visual_richness,1,increase,theory,0.408289,Moderate,62,,0.184476,0.147466,0.031123
Openness,High,animation,animation_level,1,increase,theory,0.0279,Weak,62,,0.0,0.0,0.0
Openness,Low,information_density,information_density,1,increase,data-driven,0.645089,Strong,37,0.0566,0.141341,0.14311,0.019238
Openness,Low,visual_richness,visual_richness,-1,decrease,theory,0.397039,Moderate,37,,0.184476,0.147466,0.031123
Openness,Low,animation,animation_level,-1,decrease,theory,0.01665,Weak,37,,0.0,0.0,0.0
