Timestamp,consent,age_group,gender,education_level,primary_device,shopping_motivation,decision_speed,price_sensitivity,review_importance,brand_loyalty,social_proof_influence,primary_persona,check1,trait_introversion,trait_trust,trait_low_conscientiousness,trait_emotional_stability,check2,trait_low_openness,trait_extraversion,trait_agreeableness_reverse,trait_conscientiousness,trait_neuroticism,trait_openness,current_mood,font_style_pref,font_size_pref,color_theme_pref,accent_color_pref,background_pref,whitespace_pref,button_style_pref,hero_banner_size,recommendation_type,social_proof_display,urgency_pref,check3,checkout_style,form_field_style,product_desc_length,check4,desktop_grid_pref,desktop_info_density,desktop_image_text_ratio,desktop_whitespace,desktop_navigation,desktop_search_visibility,desktop_category_display,check5,desktop_product_card,desktop_price_display,desktop_filter_location,desktop_persistent_filters,desktop_quick_view,desktop_review_display,mobile_grid_pref,mobile_info_density,mobile_image_text_ratio,mobile_whitespace,mobile_navigation,mobile_search_visibility,mobile_category_display,mobile_product_card,mobile_price_display,mobile_filter_location,mobile_quick_view,mobile_review_display,mobile_sticky_header,mobile_touch_size,expects_device_adaptation,adaptation_comfort,delight_factors,frustration_points
83,0,0,1,1,1,4,2,1,4,1,0,2,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,5,1,3,0,2,1,3,0,1,0,4,6,3,3,2,2,0,0,1,1,3,3,3,3,2,0,3,2,0,2,0,0,0,0,1,3,2,1,2,0,0,1,2,3,120,113
84,0,1,0,1,1,0,1,1,2,1,3,3,3,3,5,3,3,3,5,4,2,4,2,4,3,2,3,2,1,2,0,4,1,0,1,1,0,4,0,2,3,0,0,0,2,3,0,3,3,3,4,1,1,3,2,2,0,0,0,0,0,2,4,2,1,2,0,1,2,2,5,128,127
85,0,0,1,1,1,1,0,3,4,2,2,4,3,3,4,2,2,3,3,5,4,2,3,3,3,2,0,2,0,0,1,5,1,0,3,0,0,4,4,0,3,0,1,1,2,3,1,0,3,4,3,2,1,0,3,0,2,0,0,1,2,2,4,1,1,2,2,1,1,2,4,65,27
86,0,1,0,3,1,3,3,1,2,3,3,5,3,5,5,2,3,3,3,4,1,4,1,2,0,2,3,4,0,0,0,4,0,0,1,1,0,3,3,3,3,2,2,1,0,1,0,3,3,3,0,1,1,3,2,0,2,0,1,1,1,2,3,1,1,1,0,1,1,3,5,78,19
87,0,1,0,1,1,4,1,3,0,1,1,2,3,3,5,4,5,3,3,5,1,3,1,5,4,3,0,2,5,3,0,4,3,3,4,1,0,1,0,2,3,3,0,0,0,2,2,2,3,0,1,0,1,3,2,0,2,0,0,1,2,0,0,2,2,2,2,1,1,3,5,94,8
88,0,1,0,3,1,4,0,3,2,1,3,2,3,5,5,3,1,3,5,5,1,4,4,5,1,2,1,5,3,2,0,2,1,1,4,0,0,4,0,1,3,0,1,0,1,2,0,3,3,4,0,2,1,1,0,2,2,0,2,3,1,1,4,1,1,0,1,1,1,3,5,2,34
89,0,0,0,4,1,3,3,3,4,1,0,0,3,4,5,3,2,3,3,3,2,3,3,2,4,3,2,2,0,0,2,4,1,2,1,3,0,2,0,1,3,0,2,1,2,1,1,3,3,0,1,1,1,0,0,0,0,0,0,1,1,2,4,2,0,2,0,1,1,2,3,120,113
90,0,0,1,4,1,3,1,0,4,3,0,2,3,3,2,4,5,3,3,3,2,4,1,4,4,2,3,2,0,3,0,4,0,1,4,0,0,3,4,1,3,2,1,1,2,3,2,3,3,1,0,2,1,0,0,1,0,1,2,1,0,2,2,0,2,0,0,1,1,2,5,60,76
91,0,0,0,1,1,1,1,1,2,0,2,4,3,5,4,5,1,3,1,4,4,5,5,5,7,1,3,5,2,0,0,2,3,1,3,4,0,4,0,3,3,2,2,1,0,0,0,3,3,0,4,0,0,0,0,1,0,0,0,2,0,2,0,2,1,0,0,0,2,1,5,12,16
92,0,0,1,1,1,3,3,1,2,3,3,0,3,3,4,2,4,3,3,4,2,4,5,5,3,0,0,2,0,3,1,4,1,3,4,4,0,4,3,2,3,0,1,1,2,0,1,0,3,0,0,2,0,3,0,0,2,0,0,0,1,0,0,0,0,2,0,1,2,3,5,120,113
